open_time,open,high,low,close,volume,close_time,quote_volume,trades,taker_buy_base,taker_buy_quote,ignore
2026-01-28 11:45:00,89667.51,90156.72,89605.88,90080.0,676.2024,2026-01-28 11:59:59.999,60782221.78252150,106312,406.43092000,36536560.82676590,0
2026-01-28 12:00:00,90079.99,90176.88,89898.16,89928.86,429.03788,2026-01-28 12:14:59.999,38619107.83521480,64018,204.08759000,18376323.38766310,0
2026-01-28 12:15:00,89928.86,89982.3,89790.0,89867.7,121.15063,2026-01-28 12:29:59.999,10889529.14198790,40913,54.04653000,4857694.38751810,0
2026-01-28 12:30:00,89867.7,90000.0,89803.69,89908.7,151.96323,2026-01-28 12:44:59.999,13662186.04385580,38736,62.64307000,5631654.89511080,0
2026-01-28 12:45:00,89908.7,90030.28,89790.0,89998.69,244.63609,2026-01-28 12:59:59.999,22002189.30319890,35750,119.96748000,10791266.16892070,0
2026-01-28 13:00:00,89998.69,90363.09,89969.42,90179.26,368.60385,2026-01-28 13:14:59.999,33241889.54037070,58716,221.81894000,20003203.38915120,0
2026-01-28 13:15:00,90179.26,90299.75,90051.76,90140.73,118.66665,2026-01-28 13:29:59.999,10693906.75063350,39260,48.27988000,4351068.89603790,0
2026-01-28 13:30:00,90140.73,90488.0,90100.59,90415.58,648.4923,2026-01-28 13:44:59.999,58562525.96025530,94584,422.93991000,38193927.30830360,0
2026-01-28 13:45:00,90415.57,90467.48,90172.94,90257.91,349.71515,2026-01-28 13:59:59.999,31600751.84834990,58282,198.61015000,17948309.22511100,0
2026-01-28 14:00:00,90257.91,90276.78,90142.85,90149.73,174.75111,2026-01-28 14:14:59.999,15763156.51605990,33887,71.85619000,6482430.38685810,0
2026-01-28 14:15:00,90149.72,90182.05,89937.0,90010.86,149.12346,2026-01-28 14:29:59.999,13430089.01905040,47720,55.73665000,5019729.03956620,0
2026-01-28 14:30:00,90010.85,90147.45,89640.01,89710.71,379.56688,2026-01-28 14:44:59.999,34113266.46731200,163039,168.32104000,15133190.55927170,0
2026-01-28 14:45:00,89710.71,89774.69,89460.01,89617.27,294.29576,2026-01-28 14:59:59.999,26371622.52336160,138709,138.80876000,12440309.81555870,0
